구별,인구수,내국인,외국인,고령자
종로구,159842,149952,9890,28396
중구,135321,125800,9521,24265
용산구,244953,229786,15167,39995
성동구,302695,295591,7104,45372
광진구,361923,348064,13859,50047
동대문구,358679,344416,14263,61408
중랑구,400989,395997,4992,68658
성북구,449871,439719,10152,73370
강북구,313550,309996,3554,62951
도봉구,329300,327248,2052,61388
노원구,529532,525486,4046,84612
은평구,485842,481546,4296,84353
서대문구,323860,313212,10648,53869
마포구,383494,373508,9986,54053
양천구,460048,456240,3808,64804
강서구,589536,583544,5992,88052
구로구,435751,405579,30172,69312
금천구,249641,232157,17484,39361
영등포구,405982,375630,30352,60826
동작구,404617,393554,11063,64674
관악구,514555,498574,15981,78206
서초구,429995,426009,3986,59495
강남구,544085,539235,4850,73942
송파구,676673,670331,6342,92149
강동구,462275,458058,4217,68798
