구별,인구수,내국인,외국인,고령자,외국인비율,고령자비율
종로구,159842,149952,9890,28396,6.187360018017793,17.765042979942695
중구,135321,125800,9521,24265,7.035862874202821,17.93143710141072
용산구,244953,229786,15167,39995,6.191800059603271,16.32762203361461
성동구,302695,295591,7104,45372,2.346916863509473,14.989345711029253
광진구,361923,348064,13859,50047,3.8292675513852394,13.828079453364388
동대문구,358679,344416,14263,61408,3.9765361228284903,17.12060087153137
중랑구,400989,395997,4992,68658,1.2449219305267725,17.122165445934925
성북구,449871,439719,10152,73370,2.256646905446228,16.309119725432403
강북구,313550,309996,3554,62951,1.1334715356402487,20.076861744538352
도봉구,329300,327248,2052,61388,0.6231399939265108,18.641967810507136
노원구,529532,525486,4046,84612,0.7640709154498689,15.97863774049538
은평구,485842,481546,4296,84353,0.8842380856327778,17.362228872761104
서대문구,323860,313212,10648,53869,3.287840424874946,16.633421848947076
마포구,383494,373508,9986,54053,2.603952082692298,14.09487501760132
양천구,460048,456240,3808,64804,0.8277397141167878,14.086356206308906
강서구,589536,583544,5992,88052,1.0163925527872768,14.935813928241872
구로구,435751,405579,30172,69312,6.924137867727211,15.906331827121454
금천구,249641,232157,17484,39361,7.003657251813604,15.767041471553151
영등포구,405982,375630,30352,60826,7.476193525821342,14.982437645018745
동작구,404617,393554,11063,64674,2.734190604942452,15.984004626597498
관악구,514555,498574,15981,78206,3.105790440283352,15.198763980526863
서초구,429995,426009,3986,59495,0.9269875231107338,13.83620739776044
강남구,544085,539235,4850,73942,0.8914048356414899,13.590155949897534
송파구,676673,670331,6342,92149,0.9372326071824943,13.61795135907595
강동구,462275,458058,4217,68798,0.9122275701692715,14.882483370288249
